gRNA,weight_Poisson,weight_Normal,lambda,mu,scale
CROPseq_dCas9_DS_MYC-B,0.5796522,0.42034778,0.08174357563257217,5.682887554168701,1.118709683418274
CROPseq_dCas9_DS_MYC-C,0.6013575,0.3986425,0.12322015315294266,5.651213645935059,0.973793089389801
CROPseq_dCas9_DS_MYC-D,0.5741055,0.42589453,0.09954133629798889,5.798350811004639,0.9739351868629456
CROPseq_dCas9_DS_OXR1_+_107670106.23,0.58003575,0.41996425,0.06063098460435867,5.836428165435791,0.940346896648407
CROPseq_dCas9_DS_OXR1_+_107670159.23,0.6007804,0.39921957,0.08555196970701218,5.672597408294678,1.004635214805603
CROPseq_dCas9_DS_OXR1_+_107670422.23,0.6200069,0.3799931,0.0667986050248146,5.954702377319336,0.9978743195533752
CROPseq_dCas9_DS_OXR1_-_107670413.23,0.58789724,0.41210282,0.07161781191825867,5.767557144165039,1.1308319568634033
CROPseq_dCas9_DS_PHF20L1_+_133787682-P1P2,0.53933406,0.46066597,0.08394638448953629,5.617846488952637,1.071352481842041
CROPseq_dCas9_DS_PHF20L1_+_133788017-P1P2,0.58974373,0.4102563,0.05263355001807213,5.774692058563232,1.145556926727295
CROPseq_dCas9_DS_PHF20L1_+_133788065-P1P2,0.5004664,0.4995336,0.1433194875717163,4.858395576477051,1.2980546951293945
CROPseq_dCas9_DS_PHF20L1_-_133787636-P1P2,0.5222803,0.47771975,0.08159361034631729,5.668905735015869,1.0542681217193604
CROPseq_dCas9_DS_RIPK2_+_90770127.23-P1P2,0.5475846,0.45241544,0.048555292189121246,5.532786846160889,1.0786633491516113
CROPseq_dCas9_DS_RIPK2_+_90770318.23-P1P2,0.51773787,0.48226216,0.0962897390127182,5.208071231842041,1.2860629558563232
CROPseq_dCas9_DS_RIPK2_-_90770297.23-P1P2,0.6202105,0.3797894,0.0781019851565361,6.009528636932373,0.9139054417610168
CROPseq_dCas9_DS_RIPK2_-_90770465.23-P1P2,0.59561783,0.4043822,0.1575596034526825,5.923603057861328,0.999413788318634
CROPseq_dCas9_DS_STK3_+_99837558.23-P1P2,0.6205189,0.3794811,0.08518838882446289,5.946069240570068,0.9202442169189453
CROPseq_dCas9_DS_STK3_+_99837574.23-P1P2,0.561779,0.43822098,0.08333174139261246,5.633306503295898,1.0937353372573853
CROPseq_dCas9_DS_STK3_+_99837894.23-P1P2,0.55152506,0.44847497,0.053186602890491486,5.462191581726074,1.0968283414840698
CROPseq_dCas9_DS_STK3_-_99837866.23-P1P2,0.78307974,0.21692027,0.07175059616565704,5.821005821228027,0.9764633774757385
CROPseq_dCas9_DS_UBR5_+_103424908.23-P1P2,0.596366,0.403634,0.06956619024276733,5.749540328979492,1.0520496368408203
CROPseq_dCas9_DS_UBR5_+_103424940.23-P1P2,0.572341,0.427659,0.09873045980930328,5.462620735168457,1.040134310722351
CROPseq_dCas9_DS_UBR5_-_103424644.23-P1P2,0.5737865,0.42621353,0.05952512472867966,5.586750507354736,1.1701834201812744
CROPseq_dCas9_DS_UBR5_-_103424857.23-P1P2,0.54553175,0.45446822,0.05885637179017067,4.946041584014893,1.2850075960159302
CROPseq_dCas9_DS_ZFPM2-A,0.55062324,0.44937676,0.07332707196474075,5.580751419067383,1.1014575958251953
CROPseq_dCas9_DS_ZFPM2-B,0.5648107,0.4351893,0.20213495194911957,5.229691505432129,1.0010892152786255
CROPseq_dCas9_DS_ZFPM2-C,0.52174926,0.47825077,0.05768931657075882,5.348582744598389,1.1818053722381592
